"Model","Gene","Coefficient","Estimate","p.val.t.dist","p.val.perm"
"wnlm.Q","PWRN1","RNA_batchC",-0.0593013526778735,0.811239874879715,NA
"wnlm.Q","IGF2","RNA_batchC",0.328865273949663,0.0587160388653318,NA
"wnlm.Q","NLRP2","RNA_batchC",0.0352564537428186,0.899152902713338,NA
"wnlm.Q","UBE3A","RNA_batchC",0.229664898918483,0.675091122852887,NA
"wnlm.Q","MAGEL2","RNA_batchD",0.315882538573533,0.081494001501703,NA
"wnlm.Q","TMEM261P1","RNA_batchD",0.123145254990588,0.62383277138373,NA
"wnlm.Q","SNHG14","RNA_batchD",0.193415215249835,0.2741759079494,NA
"wnlm.Q","AL132709.5","RNA_batchD",0.154258508785448,0.269778629238088,NA
"wnlm.Q","RP11-909M7.3","RNA_batchD",0.0974649666987859,0.563015385360371,NA
"wnlm.Q","ZIM2","RNA_batchD",-0.457910757461176,0.0849841075695096,NA
"wnlm.Q","NAP1L5","RNA_batchD",-0.431504808031708,0.0358774283452043,NA
"wnlm.Q","MEG3","RNA_batchD",0.115543343395189,0.558321203245467,NA
"wnlm.Q","PEG3","RNA_batchD",-0.158736685124397,0.302466287240035,NA
"wnlm.Q","PWAR6","RNA_batchD",-0.30582085983141,0.122563270116017,NA
"wnlm.Q","FAM50B","RNA_batchD",-0.309175905846979,0.0855817675802446,NA
"wnlm.Q","NDN","RNA_batchD",-0.5253047503261,0.253959753639791,NA
"wnlm.Q","SNURF","RNA_batchD",-0.233295701227721,0.273878043659403,NA
"wnlm.Q","PEG10","RNA_batchD",0.0328913037233707,0.774144933954639,NA
"wnlm.Q","SNRPN","RNA_batchD",-0.29420374199709,0.123410706632605,NA
"wnlm.Q","KCNQ1OT1","RNA_batchD",0.112309284631223,0.509325840359665,NA
"wnlm.Q","ZDBF2","RNA_batchD",0.0774505363199972,0.630135049499082,NA
"wnlm.Q","GRB10","RNA_batchD",-0.0678986248532179,0.576120109340812,NA
"wnlm.Q","SNORD116-20","RNA_batchD",0.232760967172396,0.647479010753538,NA
"wnlm.Q","KCNK9","RNA_batchD",-0.00746071265487134,0.966231103800256,NA
"wnlm.Q","INPP5F","RNA_batchD",-0.0722948140545856,0.349411369757219,NA
