"Coefficient","Gene","p.val.t.dist.wnlm.Q.*","p.val.perm.wnlm.Q.*","p.val.t.dist.logi.S.*","p.val.perm.logi.S.*","logi.S.fit.OK","Estimate.wnlm.Q","p.val.t.dist.wnlm.Q","p.val.perm.wnlm.Q","Estimate.logi.S","p.val.t.dist.logi.S","p.val.perm.logi.S"
"DxSCZ","NLRP2","","",NA,NA,FALSE,-0.197420196870402,0.123225539941405,0.1398,NA,NA,NA
"DxSCZ","UBE3A","***","**","","",TRUE,-0.808331408601375,0.000367660487387179,0.007,-0.231645838143986,0.128952046039046,0.167
"DxAFF","MAGEL2","","",NA,NA,FALSE,0.101804747029729,0.466692323801891,0.4988,NA,NA,NA
"DxAFF","TMEM261P1","","",NA,NA,FALSE,0.0976724908388073,0.511138556851105,0.5304,NA,NA,NA
"DxAFF","SNHG14","","",NA,NA,FALSE,-0.187862569637309,0.331539482661787,0.4458,NA,NA,NA
"DxAFF","AL132709.5","","",NA,NA,FALSE,0.200861923044324,0.0770598292015664,0.1104,NA,NA,NA
"DxAFF","RP11-909M7.3","","",NA,NA,FALSE,-0.11995447937009,0.340775370007067,0.5434,NA,NA,NA
"DxAFF","ZIM2","","",NA,NA,FALSE,0.31143010839665,0.110472556879953,0.1668,NA,NA,NA
"DxAFF","NAP1L5","","",NA,NA,FALSE,-0.280610139291201,0.127397272759441,0.243,NA,NA,NA
"DxAFF","MEG3","","",NA,NA,FALSE,-0.290483454644165,0.128847770143331,0.234,NA,NA,NA
"DxAFF","PEG3","","",NA,NA,FALSE,0.0168948104428907,0.906162252217765,0.8784,NA,NA,NA
"DxAFF","PWAR6","","",NA,NA,FALSE,-0.180443303557236,0.360872582424282,0.3304,NA,NA,NA
"DxAFF","FAM50B","","",NA,NA,FALSE,-0.0013836076597776,0.993375647995822,0.9962,NA,NA,NA
"DxAFF","NDN","","",NA,NA,FALSE,0.329249262048218,0.179233620975335,0.2086,NA,NA,NA
"DxAFF","SNURF","","",NA,NA,FALSE,-0.124847648884842,0.554210601362597,0.5678,NA,NA,NA
"DxAFF","PEG10","","",NA,NA,FALSE,0.0249542454784316,0.803231281033944,0.8118,NA,NA,NA
